Reference, Value, Footprint, Datasheet
"R4","10k","paddle:R_0603",""
"J1","CONN_02X07","",""
"C3","0.1uF","paddle:SMD_0805",""
"C2","10uF","paddle:SMD_0805",""
"R2","4.7k","paddle:R_0603",""
"R3","4.7k","paddle:R_0603",""
"C1","1uF","paddle:SMD_0805",""
"R1","10k","paddle:R_0603",""
"LED3","LED","paddle:SMD_D_0805",""
"R7","330","paddle:R_0603",""
"LED5","LED","paddle:SMD_D_0805",""
"LED4","LED","paddle:SMD_D_0805",""
"R8","330","paddle:R_0603",""
"LED6","LED","paddle:SMD_D_0805",""
"R10","330","paddle:R_0603",""
"U3","TCA9534A","paddle:TSSOP-16-1EP_4.4x5mm_Pitch0.65mm",""
"R9","330","paddle:R_0603",""
"LED1","LED","paddle:SMD_D_0805",""
"R5","330","paddle:R_0603",""
"LED2","LED","paddle:SMD_D_0805",""
"R6","330","paddle:R_0603",""
"U2","BME280","paddle:BME280",""
"C4","0.1uF","paddle:SMD_0805",""
"U1","ESP32-WROOM","paddle:ESP32-WROOM",""
"C8","10uF","paddle:SMD_0805",""
"J4","Battery","paddle:JST_battery_header_B2B-PH-K-S",""
"F1","1A Poly","paddle:SMD_1812",""
"R15","1Meg","paddle:R_0603",""
"R14","1Meg","paddle:R_0603",""
"U4","MCP73832","paddle:SOT-23-5",""
"U5","NCP694-3.3","paddle:SOT89-5",""
"C5","4.7uF","paddle:SMD_0805",""
"R16","10K","paddle:R_0603",""
"C7","4.7uF","paddle:SMD_0805",""
"R13","1.0K","paddle:R_0603",""
"C9","10uF","paddle:SMD_0805",""
"Q5","DMG3415U","paddle:SOT-23",""
"R17","1.0Meg","paddle:R_0603",""
"Q4","DMG3415U","paddle:SOT-23",""
"Q3","DMG3414U","paddle:SOT-23",""
"D1","RB168LAM-30","paddle:D_SOD-128",""
"D2","RB168LAM-30","paddle:D_SOD-128",""
"Q1","DMG3415U","paddle:SOT-23",""
"R11","1.0Meg","paddle:R_0603",""
"Q2","DMG3415U","paddle:SOT-23",""
"R12","1.0Meg","paddle:R_0603",""
"J2","V_QI","paddle:TH_1.0",""
"J3","GND","paddle:TH_1.0",""
"SW1","SW","paddle:SW_KMR7",""
"C6","10uF","paddle:SMD_0805",""
"LED7","LED","paddle:SMD_D_0805",""
"D4","RB168LAM-30","paddle:D_SOD-128",""
"D3","RB168LAM-30","paddle:D_SOD-128",""
"R30","1.0k","paddle:R_0603",""
"R29","1Meg","paddle:R_0603",""
"R18","100k","paddle:R_0603",""
"LED8","LED","paddle:SMD_D_0805",""
"R22","330","paddle:R_0603",""
"Q6","DMG3415U","paddle:SOT-23",""
"C11","0.01uF","paddle:SMD_0805",""
"C10","10uF","paddle:SMD_0805",""
"R19","1MEG","paddle:R_0603",""
"C12","1uF","paddle:SMD_0805",""
"R20","330","paddle:R_0603",""
"R21","330","paddle:R_0603",""
"L1","bead","paddle:SMD_0805",""
"BT1","CR1025","paddle:CR1025_holder",""
"U6","FGPMMOPA6H","",""
"M1","MICROSD","adafruit:MICROSD",""
"C14","0.1uF","paddle:SMD_0805",""
"C13","10uF","paddle:SMD_0805",""
"Q7","DMG3415U","paddle:SOT-23",""
"R23","1MEG","paddle:R_0603",""
"U9","CP2102N","paddle:QFP24",""
"C16","0.1uF","paddle:SMD_0805",""
"C15","10uF","paddle:SMD_0805",""
"Q8","MMBT4401","paddle:SOT-23",""
"Q9","MMBT4401","paddle:SOT-23",""
"R28","10k","paddle:R_0603",""
"R27","10k","paddle:R_0603",""
"LED10","LED","paddle:SMD_D_0805",""
"R26","330","paddle:R_0603",""
"LED9","LED","paddle:SMD_D_0805",""
"R25","330","paddle:R_0603",""
"R24","1k","paddle:R_0603",""
"U7","USB_B_Socket","paddle:USB_micro_B_FCI_10104110",""
"U8","SP3003-04","paddle:SMD_SC70-6",""
"TP2","TXD","paddle:tp_th_1mm",""
"TP1","RXD","paddle:tp_th_1mm",""
"SW2","SWITCH_PUSHBUTTON","paddle:SW_KMR7",""
"SW3","SWITCH_PUSHBUTTON","paddle:SW_KMR7",""
