Qty,partname,description,lib
0,"BME280","Barometric pressure/temperature/humidity sensor","paddle"
0,"Battery_single-cell","","paddle"
0,"CONN_01X01_FEMALE","Generic Female Connector, Single Row, 01x01, socket header","conn"
0,"CONN_01X02","Connector, single row, 01x02, pin header","conn"
0,"CONN_02X07","Connector, double row, 02x07, pin header","conn"
0,"CP2104","","paddle"
0,"C_Small","Unpolarized capacitor","device"
0,"ESP32-WROOM","","paddle"
0,"FGPMMOPA6H","","paddle"
0,"Ferrite_Bead_Small","Ferrite bead, small symbol","device"
0,"LED","LED generic","device"
0,"MCP73831/2","","paddle"
0,"MICROSD","","paddle"
0,"NCP694-3.3","","paddle"
0,"NPN_BEC_SOT-23","Vce 100V, Ic 1A, High Voltage Power Transistor, TO-126","paddle"
0,"Polyfuse_Small","resettable fuse, polymeric positive temperature coefficient (PPTC), small symbol","device"
0,"Q_NMOS_GSD","Transistor N-MOSFETwith substrate diode (general)","device"
0,"Q_PMOS_GSD","Transistor P-MOSFET with substrate diode (general)","device"
0,"R_US","","paddle"
0,"SP3003-04","Diode Zener clamp - 4-channel","paddle"
0,"SWITCH_PUSHBUTTON","","paddle"
0,"Schottky","Schottky diode","paddle"
0,"TCA9534A","","paddle"
0,"TEST","Testpoint, connection for test equipment","device"
0,"USB_B_Socket","","paddle"
